Object Name,SkyMapperID,R-mag,RA,DEC
WISEA J221142.57-194059.0,3869857,15.452 ± 0.029,332.92792,-19.68286
WISEA J221145.17-195400.1,3858532,16.128 ± 0.045,332.93842,-19.90072
WISEA J221149.26-194704.0,3869760,15.752 ± 0.032,332.95521,-19.7845
WISEA J221151.41-193329.2,3869907,16.343 ± 0.015,332.96421,-19.55808
WISEA J221152.88-194139.0,3869859,16.193 ± 0.036,332.97021,-19.69372
WISEA J221211.44-195557.8,3858550,16.034 ± 0.033,333.04704,-19.93294
WISEA J221220.88-195835.8,3858726,15.766 ± 0.040,333.08679,-19.97669
WISEA J221232.13-194917.7,3869965,15.884 ± 0.017,333.13405,-19.82146
WISEA J221232.55-201832.1,3858178,16.232 ± 0.021,333.13558,-20.309
WISEA J221233.47-193736.7,3870097,16.228 ± 0.020,333.13925,-19.627
WISEA J221241.55-192515.5,3870537,15.793 ± 0.019,333.17313,-19.42097
WISEA J221246.95-201055.2,3858605,16.329 ± 0.024,333.1955,-20.18178
WISEA J221254.49-192811.7,3870533,16.807 ± 0.020,333.22708,-19.47036
WISEA J221258.42-191529.1,3870688,15.242 ± 0.034,333.2435,-19.25813
WISEA J221304.50-191722.7,3870737,16.886 ± 0.032,333.26887,-19.28964
WISEA J221312.66-194532.5,3870131,14.749 ± 0.072,333.30295,-19.75911
WISEA J221319.95-200202.0,3858799,16.035 ± 0.011,333.33308,-20.03394
WISEA J221322.11-193412.1,3870552,16.540 ± 0.052,333.34208,-19.57003
WISEA J221355.53-202723.5,5735766,16.568 ± 0.031,333.48146,-20.45656
WISEA J221412.12-191801.2,5744322,15.862 ± 0.017,333.55071,-19.30053
WISEA J221437.05-191904.9,5744363,15.922 ± 0.056,333.65435,-19.31814
WISEA J221501.14-192536.9,5744348,15.643 ± 0.015,333.75484,-19.42702
ESO 601- G 036,5744413,15.304394945118 ± 0.016185704779628 ,333.85313,-19.58527
WISEA J221655.11-193432.7,5745348,16.175 ± 0.031,334.22962,-19.57575
2MASX J22165626-1955155,5744652,16.485 ± 0.051,334.2345,-19.92092
2MASX J22172928-1954557,5744838,16.020 ± 0.036,334.37208,-19.91557
