footprint,pitch,fbar,Ttot,Teff,bfactors
closepack36,0.9,871.9907407407406,133.3827995848654,55.20311431592166,0.0037731053707122275
closepack36,0.9,895.9907407407406,147.15617304808544,67.01859395219616,0.005723011627396993
closepack36,0.9,943.9907407407406,959.3280934073424,586.7566543325207,0.005641908947673345
closepack36,0.9,967.9907407407406,115.69741826598936,71.27771573413347,0.005622304890550736
closepack36,0.9,991.9907407407406,25.41551620284714,6.7739871149550135,0.005626505885804575
closepack36,0.9,1015.9907407407406,1.6927948799999997,0.668027325036817,0.005655854888775091
closepack36,0.9,1295.9907407407406,95.41779457375038,22.92445732583923,0.005649859108163827
closepack36,0.9,1367.9907407407406,26.333675519999996,9.210186330159706,0.004878491960906488
closepack36,0.9,1391.9907407407406,0.0884736,0.0335790071273974,0.004605062214219177
square_6x6,0.9,1247.9907407407406,9.818603536552844,0.2654696510787416,0.006173456942363615
square_6x6,0.9,1295.9907407407406,107.04912389278248,42.57796021535586,0.005809831361325069
square_6x6,0.9,1319.9907407407406,79.0560768,41.03431720760534,0.005563450053741847
square_6x6,0.9,1343.9907407407406,0.02752512,0.013668886780754,0.005290686533634565
square_6x6,0.9,1367.9907407407406,215.80578815999996,102.89281485500076,0.0050058732420725375
square_6x6,0.9,1391.9907407407406,21.73599744000001,8.493462050861021,0.004721822885657397
square_6x6,1.05,783.9907407407406,8.884715534978431,4.770632121717766,0.005954054290638123
square_6x6,1.05,803.9907407407406,2.86752768,1.2777744796078987,0.00616244453545766
square_6x6,1.05,807.9907407407406,90.96757263335908,57.53456811026801,0.006193068398545405
square_6x6,1.05,815.9907407407406,61.91579146438168,33.34769662750901,0.006245519067227571
square_6x6,1.05,839.9907407407406,114.00216595219229,60.43401962925271,0.00633323463187037
square_6x6,1.05,855.9907407407406,44.97309696341232,33.582278385887214,0.0063458871918863555
square_6x6,1.05,879.9907407407406,171.54883583999998,114.51053915240712,0.006322290079615022
square_6x6,1.05,887.9907407407406,473.2619986853123,289.5395008602978,0.006307197397418742
square_6x6,1.05,911.9907407407406,248.25446408733168,162.5343074318601,0.006252554834112624
square_6x6,1.05,927.9907407407406,0.4708761599999999,0.1158861157654993,0.006217028281193489
square_6x6,1.05,935.9907407407406,0.7697203212976449,0.1555878692011555,0.006200822904753574
square_6x6,1.05,959.9907407407406,15.84365568,7.718796695003251,0.006163997889180536
