Array_name,SEFDJy,Tsys (K),Aeff (m^2),A/Tsys (m^2/K),FrequencyMHz,BandwidthMHz,FWHM_deg,Time_resolution_ms,Freq_res_MHz
AA-600MHz-1M-narrow,0.625,30,240000,8000,600,600,40,1,0.5
AA-600MHz-256k-narrow,2.5,30,60000,2000,600,600,40,1,0.5
AA-600MHz-64k-narrow,10,30,15000,500,600,600,40,1,0.5
AA-600MHz-16k-narrow,40,30,3750,125,600,600,40,1,0.5
AA-600MHz-4k-narrow,160,30,937.5,31.25,600,600,40,1,0.5
AA-600MHz-1k-narrow,640,30,234.375,7.8125,600,600,40,1,0.5
AA-600MHz-256-narrow,2560,30,58.59375,1.953125,600,600,40,1,0.5
AA-600MHz-64-narrow,10240,30,14.6484375,0.48828125,600,600,40,1,0.5
AA-600MHz-16-narrow,40960,30,3.662109375,0.1220703125,600,600,40,1,0.5
AA-600MHz-1M-wide,0.625,30,240000,8000,600,600,120,1,0.5
AA-600MHz-256k-wide,2.5,30,60000,2000,600,600,120,1,0.5
AA-600MHz-64k-wide,10,30,15000,500,600,600,120,1,0.5
AA-600MHz-16k-wide,40,30,3750,125,600,600,120,1,0.5
AA-600MHz-4k-wide,160,30,937.5,31.25,600,600,120,1,0.5
AA-600MHz-1k-wide,640,30,234.375,7.8125,600,600,120,1,0.5
AA-600MHz-256-wide,2560,30,58.59375,1.953125,600,600,120,1,0.5
AA-600MHz-64-wide,10240,30,14.6484375,0.48828125,600,600,120,1,0.5
AA-600MHz-16-wide,40960,30,3.662109375,0.1220703125,600,600,120,1,0.5
AA-1400MHz-1M-narrow,3.125,25,29600,1184,1400,1400,40,1,1
AA-1400MHz-256k-narrow,12.5,25,7400,296,1400,1400,40,1,1
AA-1400MHz-64k-narrow,50,25,1850,74,1400,1400,40,1,1
AA-1400MHz-16k-narrow,200,25,462.5,18.5,1400,1400,40,1,1
AA-1400MHz-4k-narrow,800,25,115.625,4.625,1400,1400,40,1,1
AA-1400MHz-1k-narrow,3200,25,28.90625,1.15625,1400,1400,40,1,1
AA-1400MHz-256-narrow,12800,25,7.2265625,0.2890625,1400,1400,40,1,1
AA-1400MHz-64-narrow,51200,25,1.806640625,0.072265625,1400,1400,40,1,1
AA-1400MHz-16-narrow,204800,25,0.4516601563,0.01806640625,1400,1400,40,1,1
AA-1400MHz-1M-wide,3.125,25,29600,1184,1400,1400,120,1,1
AA-1400MHz-256k-wide,12.5,25,7400,296,1400,1400,120,1,1
AA-1400MHz-64k-wide,50,25,1850,74,1400,1400,120,1,1
AA-1400MHz-16k-wide,200,25,462.5,18.5,1400,1400,120,1,1
AA-1400MHz-4k-wide,800,25,115.625,4.625,1400,1400,120,1,1
AA-1400MHz-1k-wide,3200,25,28.90625,1.15625,1400,1400,120,1,1
AA-1400MHz-256-wide,12800,25,7.2265625,0.2890625,1400,1400,120,1,1
AA-1400MHz-64-wide,51200,25,1.806640625,0.072265625,1400,1400,120,1,1
AA-1400MHz-16-wide,204800,25,0.4516601563,0.01806640625,1400,1400,120,1,1
