,ID,FBAR,DM,WIDTH,SNR
0,170107,1196.0,609.5,2.4,16.0
1,170416,1196.0,523.2,5.0,13.0
2,170428,1196.0,991.7,4.4,10.5
3,170707,1196.0,235.2,3.5,9.5
4,170712,1196.0,312.79,1.4,12.7
5,170906,1196.0,390.3,2.5,17.0
6,171003,1196.0,463.2,2.0,13.8
7,171004,1196.0,304.0,2.0,10.9
8,171019,1196.0,460.8,5.4,23.4
9,171020,1196.0,114.1,1.7,19.5
10,171116,1196.0,618.5,3.2,11.8
11,171213,1196.0,158.6,1.5,25.1
12,171216,1196.0,203.1,1.9,8.0
13,180110,1196.0,715.7,3.2,35.6
14,180119,1196.0,402.7,2.7,15.9
15,180128.0,1196.0,441.4,2.9,12.4
16,180128.2,1196.0,495.9,2.3,9.6
17,180130,1196.0,343.5,4.1,10.3
18,180131,1196.0,657.7,4.5,13.8
19,180212,1196.0,167.5,1.81,18.3
20,180324,1196.0,431.0,4.3,9.8
21,180417,1196.0,474.8,2.3,17.5
22,180515,1196.0,355.2,1.9,12.1
23,180525,1196.0,388.1,3.8,27.4
